First Name,Last Name,Salary,Position,Team,Opponent,Line,Power_Play,Projection
LW,Leon Draisaitl (13707624),Leon Draisaitl,13707624,W/UTIL,8000,STL@EDM 11/06/2019 08:30PM ET,EDM,18.09
G,Mike Smith (13707832),Mike Smith,13707832,G,8000,STL@EDM 11/06/2019 08:30PM ET,EDM,16.31
G,Mikko Koskinen (13707837),Mikko Koskinen,13707837,G,8000,STL@EDM 11/06/2019 08:30PM ET,EDM,14.52
C,Connor McDavid (13707566),Connor McDavid,13707566,C/UTIL,7900,STL@EDM 11/06/2019 08:30PM ET,EDM,14.78
G,Jordan Binnington (13707833),Jordan Binnington,13707833,G,7700,STL@EDM 11/06/2019 08:30PM ET,STL,16.35
G,Henrik Lundqvist (13707834),Henrik Lundqvist,13707834,G,7500,DET@NYR 11/06/2019 08:00PM ET,NYR,13.85
G,Jake Allen (13707838),Jake Allen,13707838,G,7500,STL@EDM 11/06/2019 08:30PM ET,STL,6.33
G,Jimmy Howard (13707835),Jimmy Howard,13707835,G,7300,DET@NYR 11/06/2019 08:00PM ET,DET,9.64
G,Jonathan Bernier (13707839),Jonathan Bernier,13707839,G,7300,DET@NYR 11/06/2019 08:00PM ET,DET,8.37
G,Alexandar Georgiev (13707840),Alexandar Georgiev,13707840,G,7300,DET@NYR 11/06/2019 08:00PM ET,NYR,12.86
LW,Artemi Panarin (13707626),Artemi Panarin,13707626,W/UTIL,7200,DET@NYR 11/06/2019 08:00PM ET,NYR,12.11
C,Mika Zibanejad (13707568),Mika Zibanejad,13707568,C/UTIL,6800,DET@NYR 11/06/2019 08:00PM ET,NYR,15.14
C,Dylan Larkin (13707570),Dylan Larkin,13707570,C/UTIL,6600,DET@NYR 11/06/2019 08:00PM ET,DET,10.77
G,Igor Shesterkin (13707841),Igor Shesterkin,13707841,G,6500,DET@NYR 11/06/2019 08:00PM ET,NYR,0
G,Calvin Pickard (13707842),Calvin Pickard,13707842,G,6500,DET@NYR 11/06/2019 08:00PM ET,DET,0
G,Stuart Skinner (13707836),Stuart Skinner,13707836,G,6500,STL@EDM 11/06/2019 08:30PM ET,EDM,0
G,Ville Husso (13707843),Ville Husso,13707843,G,6500,STL@EDM 11/06/2019 08:30PM ET,STL,0
RW,Anthony Mantha (13707628),Anthony Mantha,13707628,W/UTIL,6100,DET@NYR 11/06/2019 08:00PM ET,DET,14.05
D,Jacob Trouba (13707738),Jacob Trouba,13707738,D/UTIL,6000,DET@NYR 11/06/2019 08:00PM ET,NYR,12.59
D,Oscar Klefbom (13707740),Oscar Klefbom,13707740,D/UTIL,5900,STL@EDM 11/06/2019 08:30PM ET,EDM,12.23
RW,David Perron (13707630),David Perron,13707630,W/UTIL,5800,STL@EDM 11/06/2019 08:30PM ET,STL,10.89
C,Ryan O'Reilly (13707572),Ryan O'Reilly,13707572,C/UTIL,5700,STL@EDM 11/06/2019 08:30PM ET,STL,9.61
D,Alex Pietrangelo (13707742),Alex Pietrangelo,13707742,D/UTIL,5600,STL@EDM 11/06/2019 08:30PM ET,STL,11.21
LW,Tyler Bertuzzi (13707632),Tyler Bertuzzi,13707632,W/UTIL,5400,DET@NYR 11/06/2019 08:00PM ET,DET,9.39
C,Brayden Schenn (13707574),Brayden Schenn,13707574,C/UTIL,5300,STL@EDM 11/06/2019 08:30PM ET,STL,10.48
C,Ryan Strome (13707576),Ryan Strome,13707576,C/UTIL,5200,DET@NYR 11/06/2019 08:00PM ET,NYR,8.79
LW,James Neal (13707634),James Neal,13707634,W/UTIL,5200,STL@EDM 11/06/2019 08:30PM ET,EDM,11.49
LW,Chris Kreider (13707636),Chris Kreider,13707636,W/UTIL,5000,DET@NYR 11/06/2019 08:00PM ET,NYR,6.84
D,Tony DeAngelo (13707744),Tony DeAngelo,13707744,D/UTIL,5000,DET@NYR 11/06/2019 08:00PM ET,NYR,9.05
